"Industry";"2010";"2012"; "2013";"2014";"2015";"2016";"2017"
"Total";10758;10589;10164;8959;8065;7868;7679
"Agriculture, forestry andfishing";672;648;571;518;479;473;468
"including Agricultural";597;578;505;458;417;410;405
"Industry";2860;2804;2673;2297;2040;1960;1894
"Construction";390;333;295;228;182;173;167
"Wholesale and retail trade repair of motor vehicles and motorcycles";902;978;911;786;687;712;697
"Transportation and storage, postal and courier activities";824;826;809;731;661;660;655
"Transportation";276;278;272;288;267;282;282
"Warehousing and support activities for transportation";443;448;440;355;315;301;297
"Postal and courier activities";105;100;97;88;79;77;76
"Accommodation and food;service;activities";109;109;108;85;71;76;70
"Information and communication";208;186;184;157;134;122;119
"Financial and insurance activities";271;281;275;245;191;174;168
"Real estate activities";160;164;132;103;92;85;84
"Professional, scientific and technical activities";351;331;319;276;240;231;219
"of;which Scientific research and development";138;118;115;104;97;91;87
"Administrative and support service activities";214;235;237;232;192;189;176
"Public;administration;and;defence,;compulsory;social;security";643;593;590;529;484;463;456
Education;1668;1667;1642;1499;1434;1393;1379
"Human;health;and;social;work;activities";1240;1185;1195;1065;984;972;951
"of;which;Human;health;services";1113;1060;1070;947;880;866;850
"Arts,;entertainment;and;recreation";193;199;176;172;161;155;150
"of;which;Creative,;arts;and;entertainment;activities";101;108;88;89;85;84;84
"Libraries,;archives,;museums;and;other;cultural;activities";55;54;53;50;48;47;44
"Other;services";53;50;47;37;31;31;27
