"region";"labour_force";"age15_70";"age15_34";"age20_64";"age15_24";"age25_29";"age30_34";"age35_39";"age40_49";"age50_59";"age60_70";"age70_over"
"Ukraine";18155,7;18066;6150,2;17698,8;1365,9;2123,1;2661,2;2616,2;4696;3919,4;684,2;89,7
"Vinnytsia";730,8;729,4;246,9;715,6;58,4;84,9;103,6;94,1;193,9;171,1;23,4;1,4
"Volyn";426,2;425,2;156,1;418,1;39,2;53;63,9;62,5;112,6;85,4;8,6;1
"Dnipropetrovsk";1538,3;1532,4;516,1;1512,2;102,4;181,5;232,2;233,1;407,1;334,3;41,8;5,9
"Donetsk";869;864,7;286,6;849,6;58,3;94,7;133,6;131,4;234,8;184,3;27,6;4,3
"Zhytomyr";579,7;576,7;209,6;565,5;48,7;75,7;85,2;74,7;149,7;122,4;20,3;3
"Zakarpattya";560,5;559,8;222,8;541,7;71,6;68,7;82,5;74,2;138,6;108,7;15,5;0,7
"Zaporizhia";822,7;819,1;267,1;800;53,8;88,7;124,6;117,9;217,3;182,9;33,9;3,6
"Ivano-Frankivsk";626,2;619,7;226,1;602,8;60,6;79,2;86,3;88,1;147,5;122,2;35,8;6,5
"Kyiv";820,9;819,8;288,5;811,3;54,2;102,1;132,2;128,8;220,1;165,7;16,7;1,1
"Kirovohrad";432,2;431,8;147,2;423,1;33,4;52,8;61;54,5;112,7;102,4;15;0,4
"Luhansk";356,6;352;115;344,1;22,8;40,8;51,4;46,8;92,9;81,3;16;4,6
"Lviv";1154,6;1150,3;423;1131,4;104,1;146,5;172,4;167,5;281,5;250,5;27,8;4,3
"Mykolaiv";551,3;550,7;186,8;539,1;39,4;63,4;84;78,1;140,3;126,3;19,2;0,6
"Odesa";1088,5;1084,2;364,1;1067,8;79,3;128,6;156,2;166,6;283,1;237,7;32,7;4,3
"Poltava";663;661,4;225,5;652,8;48,9;76,3;100,3;91,4;181;143,6;19,9;1,6
"Rivne";534,3;530;179,4;520,5;41,4;62,7;75,3;73,8;136,2;107,8;32,8;4,3
"Sumy";533;532,1;170,7;518,5;33,2;57,4;80,1;73,3;137,5;124,3;26,3;0,9
"Ternopil";465,1;464;162,2;456,2;37,5;55,8;68,9;67,8;120;100,6;13,4;1,1
"Kharkiv";1333,2;1331,1;421,3;1310,8;78,6;149,5;193,2;199,4;350,8;313,6;46;2,1
"Kherson";504,6;503,8;176,1;497,4;39,5;59,3;77,3;70,3;128,8;119,2;9,4;0,8
"Khmelnytsk";582,9;574,6;191,6;556;52;63,9;75,7;74,6;151,7;131;25,7;8,3
"Cherkasy";580,6;580,1;200,4;574;44,8;70,8;84,8;76,9;152,6;138,1;12,1;0,5
"Chernivtsi";436;423,4;128,4;397,7;29,1;44,4;54,9;57,6;102,1;85,8;49,5;12,6
"Chernihiv";487;485,1;166,8;473,5;36,8;58,2;71,8;69;122;108,2;19,1;1,9
"Kyiv_city";1478,5;1464,6;471,9;1419,1;97,9;164,2;209,8;243,8;381,2;272;95,7;13,9
