"region","total","rural","urban"
"Ukraine",41732779,28900533,12832246
"Vinnytsya",1538331,790379,747952
"Volyn",1028693,533143,495550
"Dnipropetrovsk",3173339,2662727,510612
"Donetsk",4118923,3738438,380485
"Zhytomyr",1208981,714317,494664
"Zakarpattya",1250958,460758,790200
"Zaporizhzhya",1686612,1302188,384424
"Ivano-Frankivsk",1365371,600487,764884
"Kyiv",1775265,1094333,680932
"Kirovohrad",926694,585865,340829
"Luhansk",2131316,1853671,277645
"Lviv",2493714,1511083,982631
"Mykolayiv",1119147,765086,354061
"Odesa",2366170,1578801,787369
"Poltava",1379140,855420,523720
"Rivne",1151901,542793,609108
"Sumy",1066055,736975,329080
"Ternopil",1035444,469042,566402
"Kharkiv",2642825,2138406,504419
"Kherson",1026481,628034,398447
"Khmelnytskiy",1251539,715109,536430
"Cherkasy",1188508,673021,515487
"Chernivtsi",898567,385575,512992
"Chernihiv",982752,638829,343923
"Kyiv_city",2926053,2926053,0
